#Date, Kostnad/månad, elprisstod # From  and https://minasidor.jamtkraft.se/#fakturor # https://www.ellevio.se/privat/mina-sidor/fakturor/, sista kolumnen elprisstodet (https://www.ellevio.se/privat/energismart/elskolan/hur-funkar-elpriskompensationen/)
2015-09-30,117,999
2015-10-31,118,1000
2015-11-30,556,613
2015-12-31,556,614
2016-01-31,807,668
2016-02-28,808,669
2016-03-29,359,553
2016-04-31,360,554
2016-05-31,321,554
2016-06-30,321,555
2016-07-31,376,594
2016-08-31,376,594
2016-09-30,445,607
2016-10-31,445,607
2016-11-31,822,702
2016-12-31,822,702
2017-01-31,817,721
2017-02-28,818,722
2017-03-29,475,626
2017-04-30,476,626
2017-05-30,349,588
2017-06-30,349,588
2017-07-31,389,582
2017-08-31,390,582
2017-09-30,526,618
2017-10-31,526,619
2017-11-29,769,688
2017-12-31,770,689
2018-01-31,623,1176
2018-02-28,623,1177
2018-03-29,532,974
2018-04-31,533,974
2018-05-31,266,715
2018-06-30,266,715
2018-07-30,347,719
2018-08-31,348,720
2018-09-30,441,829
2018-10-31,441,830
2018-11-29,729,1058
2018-12-31,730,1058
2019-01-30,828,1086
2019-02-28,828,1087
2019-03-28,429,839
2019-04-30,429,839
2019-05-31,272,735
2019-06-30,273,736
2019-07-31,290,715
2019-08-30,290,716
2019-09-30,372,806
2019-10-30,372,806
2019-11-30,516,726
2019-12-30,517,726
2020-01-31,342,910
2020-02-28,301,911
2020-03-29,236,756
2020-04-31,144,757
2020-05-31,155,634
2020-06-29,202,635
2020-07-31,138,651
2020-08-31,262,651
2020-09-30,324,747
2020-10-30,276,747
2020-11-31,341,883
2020-12-29,450,883
2021-01-31,936,1199
2021-02-28,988,1200
2021-03-29,478,828
2021-04-31,338,828
2021-05-31,372,655
2021-06-28,265,656
2021-07-31,419,651
2021-08-31,440,652
2021-09-30,683,748
2021-10-28,659,748
2021-11-29,1026,1064
2021-12-28,3287,1064, 700
2022-01-31,1439,951, 200
2022-02-28,878,951, 100
2022-03-28,1325,309
2022-04-28,735,309
2022-05-30,640,562
2022-06-30,796,562, 200
2022-07-31,523,659
2022-08-31,1480,660
2022-09-30,1154,643
2022-10-31,1387,863
2022-11-30,1761,871
2022-12-31,3442,1202
2023-01-31,2094,1013
2023-02-28,1404,933
2023-03-31,1738,1062
2023-04-30,670,779
2023-05-31,390,680
2023-06-30,451,702
2023-07-31,479,778
2023-08-31,608,895
2023-09-30,543,893
2023-10-31,570,853
2023-11-30,1181,1137
2023-12-31,1539,1290
2024-01-31,1687,1570
2024-02-28,885,1154
2024-03-31,798,1055
2024-04-30,551,923
2024-05-31,312,825
2024-06-30,341,861
2024-07-31,329,893
2024-08-31,274,912
2024-09-30,322,909
2024-10-31,447,966
2024-11-30,964,1111
2024-12-31,1053,1181
2025-01-31,1080,1443
2025-02-28,1206,1446
2025-03-31,704,1221